id;so_dien_thoai;email;gia_tien;tinh_trang
1;whenever after resistance;Deondre.Cummings49@hotmail.com;14201;DA_THANH_TOAN
2;fundraising;Crystal_Bauch9@yahoo.com;2975;DA_THANH_TOAN
3;back unabashedly whoever;Tomas_Stark55@hotmail.com;19281;CHUA_THANH_TOAN
4;zip;Ernie_Pacocha32@yahoo.com;31746;DA_THANH_TOAN
5;including up;Willa.Sawayn@gmail.com;14130;DA_THANH_TOAN
6;strip aware silicon;Emil_Kemmer8@yahoo.com;17884;CHUA_THANH_TOAN
7;too yuck obscure;Destany_Marvin@gmail.com;9098;DA_THANH_TOAN
8;when;Laney.Gibson20@hotmail.com;21337;DA_THANH_TOAN
9;bottom;Maximus.Moore50@gmail.com;9011;CHUA_THANH_TOAN
10;envious upset solidly;Harmony59@hotmail.com;9982;DA_THANH_TOAN
